assets_scanner,1.0.1,Y,4.217873811721802,Y,2.6175975799560547,N,Y
automock,1.0.1,Y,0.4309194087982178,Y,0.3328359127044678,N,Y
bitcoins,1.0.3,Y,0.8585591316223145,Y,0.25687456130981445,N,Y
blocify,0.1.0,Y,0.5928263664245605,Y,0.2946345806121826,N,N
bot_io,0.26.4+1,N,0.13410282135009766,Y,0.8930702209472656,N,N
bot_test,0.2.0+1,N,0.13587450981140137,Y,0.6095569133758545,N,N
bot_web,0.22.0+1,N,0.1327829360961914,Y,0.34387826919555664,N,N
brotli,0.2.2,Y,0.11543107032775879,Y,0.10686540603637695,N,Y
btc_address_validate,0.1.1,Y,1.5914700031280518,Y,0.7199225425720215,N,Y
cassowary,0.3.1,Y,0.11360597610473633,Y,0.1108086109161377,N,Y
client_server_lan,1.1.0,Y,3.0919692516326904,Y,1.371781826019287,N,N
cli_dialog,0.2.0,Y,0.11782026290893555,Y,0.15456700325012207,N,Y
connectars,1.2.6,Y,1.8406507968902588,Y,0.9418432712554932,N,Y
country_io,1.0.0,Y,0.12071752548217773,Y,0.1298508644104004,N,Y
cupertino_ffi,0.3.0,Y,0.6007530689239502,Y,0.07782292366027832,N,N
cupertino_ffi_generated,0.3.0,Y,0.6317496299743652,Y,0.09083294868469238,N,N
customers_microservice_dart,1.0.1,Y,8.082739353179932,Y,4.59152626991272,N,N
dart2_fix,1.0.6,Y,4.712401390075684,Y,3.4412567615509033,N,N
dartemis,0.8.0,Y,0.45161008834838867,Y,0.3975527286529541,N,Y
dartemis_builder,0.1.0,Y,5.1298253536224365,Y,3.2209718227386475,N,Y
dartex,0.1.15,Y,0.6292469501495361,Y,0.49644899368286133,N,Y
dartion,0.0.7,Y,2.4079294204711914,Y,1.3894731998443604,N,Y
dartis,0.5.0,Y,0.4714362621307373,Y,0.2984013557434082,N,Y
ms_datetime_extensions,0.3.0,Y,1.8472046852111816,Y,0.9491457939147949,N,Y
multiline,1.0.1+1,Y,0.11667060852050781,Y,0.12604379653930664,N,Y
mutable_copy,0.2.5,Y,0.11705493927001953,Y,0.09676790237426758,N,Y
mutable_copy_generator,0.2.6,Y,4.704469919204712,Y,2.953862428665161,N,Y
nanodart,1.0.0,Y,1.6075489521026611,Y,0.8114931583404541,N,Y
ng_admin,0.0.1+10,Y,6.978685140609741,Y,7.071031093597412,N,N
nock,1.0.2,Y,7.509686231613159,Y,5.320725917816162,N,N
numerus,1.0.2,Y,0.1123194694519043,Y,0.35974907875061035,N,Y
oauth1_client,1.0.0,Y,2.13865327835083,Y,1.1034786701202393,N,Y
oauth2,1.6.0,Y,2.2111775875091553,Y,1.2934529781341553,N,Y
over_react_test,2.9.3,Y,11.1341712474823,Y,9.593745946884155,N,N
